第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
中国，1967年。	Chine, 1967.
“红色联合”对“四·二八兵团”总部大楼的攻击已持续了两天，他们的旗帜在大楼周围躁动地飘扬着，仿佛渴望干柴的火种。	L’assaut de l’Union rouge contre le quartier général de la brigade du 28 Avril durait depuis déjà deux jours. Tout autour de l’édifice, les drapeaux de la brigade claquaient au vent, telles des torches attendant d’être ravivées.
“红色联合”的指挥官心急如焚，他并不惧怕大楼的守卫者，那二百多名“四·二八”战士，与诞生于l966年初、经历过大检阅和大串联的“红色联合”相比要稚嫩许多。	L’officier en chef de l’Union rouge était terriblement inquiet, non qu’il ait peur des miliciens en faction dans la tour – les deux cents et quelques hommes de la brigade du 28 Avril ne pesaient pas bien lourd face aux gardes rouges de l’Union, fondée au début de l’année 1966 et dont la puissance économique et militaire était sans rivale.
他怕的是大楼中那十几个大铁炉子，里面塞满了烈性炸药，用电雷管串联起来，他看不到它们，但能感觉到它们磁石般的存在，开关一合，玉石俱焚，而“四·二八”的那些小红卫兵们是有这个精神力量的。	Ce qu’il craignait, c’étaient les quelques dizaines de fours de métal en fusion entreposés à l’intérieur du bâtiment. Ceux-ci, reliés par des détonateurs électriques, étaient pleins à ras bord d’explosifs. Il ne pouvait les voir, mais il pouvait sentir leur présence magnétique. Un doigt sur un bouton et tous seraient réduits en cendres.
	Les jeunes gardes rouges de la brigade du 28 Avril étaient capables d’une telle folie.
比起已经在风雨中成熟了许多的第一代红卫兵，新生的造反派们像火炭上的狼群，除了疯狂还是疯狂。	Par comparaison avec les vétérans qui avaient mûri à mesure qu’ils affrontaient les tempêtes, cette génération de rebelles était une meute de loups cavalant sur des charbons ardents. Plus fous que la folie elle-même.
大楼顶上出现了一个娇小的身影，那个美丽的女孩子挥动着一面“四·二八”的大旗，她的出现立刻招来了一阵杂乱的枪声，射击的武器五花八门，有陈旧的美式卡宾枪、捷克式机枪和三八大盖，也有崭新的制式步枪和冲锋枪——后者是在“八月社论”发表之后从军队中偷抢来的（注：1967年8月《红旗》杂志发表“揪军内一小撮”的社论，使冲击军区、抢夺军队枪支弹药的事件愈演愈烈，全国范围的武斗也进入高·潮。）	Une silhouette gracile émergea au sommet de la tour, celle d’une belle jeune fille brandissant un grand étendard sur lequel on lisait “28 avril”. Son irruption fut accueillie par une volée de coups de feu. C’était un cocktail hétérogène d’armes : des vieilles carabines à l’américaine, en passant par des ZB-26 tchèques, des Arisaka Type 38, jusqu’à des armes plus récentes, comme des fusils d’assaut et des pistolets-mitrailleurs – ces derniers avaient été dérobés à l’armée au lendemain de la parution de “L’éditorial d’août”en 1967, qui avait déclenché une explosion des conflits entre différentes factions de gardes rouges à l’échelle de tout le pays. (N.d.A.)
——连同那些梭标和大刀等冷兵器，构成了一部浓缩的近现代史……“四·二八”的人在前面多次玩过这个游戏，在楼顶上站出来的人，除了挥舞旗帜外，有时还用喇叭筒喊口号或向下撒传单，每次他们都能在弹雨中全身而退，为自己挣到了崇高的荣誉。	On trouvait même des armes blanches comme des coutelas et des lances, qui formaient avec les armes à feu un véritable condensé de l’histoire moderne… Les miliciens de la brigade du 28 Avril connaissaient la chanson par cœur. Outre l’étendard, le camarade perché sur le toit se servait parfois d’un haut-parleur pour vociférer des slogans ou bien il lançait des tracts au pied du bâtiment. Chaque fois, ceux qui parvenaient à sortir indemnes de la pluie de projectiles étaient couverts de gloire.
	La fille qui venait d’apparaître sur le toit croyait sans doute qu’elle connaîtrait aujourd’hui le même destin.
这次出来的女孩儿显然也相信自己还有那样的幸运她挥舞着战旗，挥动着自己燃烧的青春，敌人将在这火焰中化为灰烬，理想世界明天就会在她那沸腾的热血中诞生……她陶醉在这鲜红灿烂的梦幻中，直到被一颗步枪子弹洞穿了胸膛，十五岁少女的胸膛是那么柔嫩，那颗子弹穿过后基本上没有减速，在她身后的空中发出一声啾鸣。	En secouant ce drapeau de guerre, c’était son adolescence passionnée qu’elle agitait. L’ennemi serait bientôt consumé par les flammes et demain, un monde idéal jaillirait de son sang bouillonnant… Alors qu’elle s’enivrait de ce triomphal rêve écarlate, la balle d’un fusil lui transperça le corps. La poitrine de cette jeune fille de quinze ans était si frêle qu’elle ne freina même pas la vitesse du projectile qui, une fois passé au travers, émit un sifflement dans son dos.
