第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 

中国 ， 1967年 。|||Chine , 1967 . 

“ 红色 联合 ” 对 “ 四 · 二八兵团 ” 总部 大楼 的 攻击 已 持续 了 两 天 ， 他们 的 旗帜 在 大楼 周围 躁动 地 飘扬 着 ， 仿佛 渴望 干柴 的 火种 。|||L’ assaut de l’ Union rouge contre le quartier général de la brigade du 28 Avril durait depuis déjà deux jours . Tout autour de l’ édifice , les drapeaux de la brigade claquaient au vent , telles des torches attendant d’ être ravivées . 

“ 红色 联合 ” 的 指挥官 心急如焚 ， 他 并 不 惧怕 大楼 的 守卫者 ， 那 二百 多 名 “ 四 · 二八 ” 战士 ， 与 诞生 于 l966年 初 、 经历 过 大 检阅 和 大 串联 的 “ 红色 联合 ” 相比 要 稚嫩 许多 。|||L’ officier en chef de l’ Union rouge était terriblement inquiet , non qu’ il ait peur des miliciens en faction dans la tour – les deux cents et quelques hommes de la brigade du 28 Avril ne pesaient pas bien lourd face aux gardes rouges de l’ Union , fondée au début de l’ année 1966 et dont la puissance économique et militaire était sans rivale . 

他 怕 的 是 大楼 中 那 十几 个 大 铁炉子 ， 里面 塞 满 了 烈性 炸药 ， 用 电 雷管 串联 起 来 ， 他 看 不 到 它们 ， 但 能 感觉 到 它们 磁石 般 的 存在 ， 开关 一 合 ， 玉石俱焚 ， 而 “ 四 · 二八 ” 的 那些 小 红卫兵 们 是 有 这个 精神 力量 的 。|||Ce qu’ il craignait , c’ étaient les quelques dizaines de fours de métal en fusion entreposés à l’ intérieur du bâtiment . Ceux - ci , reliés par des détonateurs électriques , étaient pleins à ras bord d’ explosifs . Il ne pouvait les voir , mais il pouvait sentir leur présence magnétique . Un doigt sur un bouton et tous seraient réduits en cendres . 

比 起 已经 在 风雨 中 成熟 了 许多 的 第一 代 红卫兵 ， 新 生 的 造反派 们 像 火炭 上 的 狼群 ， 除 了 疯狂 还是 疯狂 。|||Par comparaison avec les vétérans qui avaient mûri à mesure qu’ ils affrontaient les tempêtes , cette génération de rebelles était une meute de loups cavalant sur des charbons ardents . Plus fous que la folie elle-même . 

