PARTIE 	 第一
I 	 第一
: 	 ：
UN 	 寂静
SILENCIEUX 	 寂静
CHAPITRE 	 章
: 	 ：
1 	 1
FOLIE 	 疯狂
Chine 	 中国
, 	 ，
1967 	 1967年
. 	 。
rouge 	 红色
Union 	 联合
contre 	 对
l’ 	 “
28 	 四
brigade 	 二八兵团
général 	 总部
L’ 	 的
le 	 的
du 	 的
assaut 	 攻击
durait 	 已
deux 	 两
jours 	 天
les 	 的
drapeaux 	 旗帜
l’ 	 大楼
édifice 	 大楼
autour 	 周围
au 	 地
claquaient 	 飘扬
, 	 ，
telles 	 仿佛
attendant 	 仿佛
ravivées 	 干柴
des 	 的
torches 	 火种
. 	 。
l’ 	 “
rouge 	 红色
Union 	 联合
de 	 的
officier 	 指挥官
chef 	 指挥官
terriblement 	 心急如焚
inquiet 	 心急如焚
, 	 ，
il 	 他
pas 	 不
peur 	 惧怕
tour 	 大楼
des 	 的
miliciens 	 守卫者
les 	 那
deux 	 二百
cents 	 二百
quelques 	 多
28 	 二八
hommes 	 战士
, 	 ，
face 	 与
fondée 	 诞生
au 	 于
l’ 	 l966年
1966 	 l966年
année 	 l966年
début 	 初
et 	 、
et 	 和
rivale 	 串联
de 	 的
l’ 	 “
rouges 	 红色
Union 	 联合
lourd 	 稚嫩
bien 	 许多
. 	 。
craignait 	 怕
Ce 	 的
qu’ 	 的
étaient 	 是
bâtiment 	 大楼
intérieur 	 中
les 	 那
dizaines 	 十几
de 	 个
métal 	 铁炉子
fours 	 铁炉子
. 	 ，
l’ 	 里面
entreposés 	 塞
explosifs 	 炸药
, 	 ，
par 	 用
électriques 	 电
détonateurs 	 雷管
reliés 	 串联
fusion 	 串联
à 	 起
. 	 ，
Il 	 他
voir 	 看
ne 	 不
les 	 它们
, 	 ，
mais 	 但
pouvait 	 能
sentir 	 感觉
Ceux 	 它们
leur 	 它们
magnétique 	 磁石
pleins 	 般
à 	 的
présence 	 存在
. 	 ，
doigt 	 开关
un 	 一
cendres 	 玉石俱焚
réduits 	 玉石俱焚
et 	 而
d’ 	 “
c’ 	 ”
tous 	 那些
seraient 	 是
en 	 这个
. 	 。
comparaison 	 比
avec 	 起
avaient 	 已经
les 	 在
tempêtes 	 风雨
affrontaient 	 中
mûri 	 成熟
qu’ 	 了
les 	 的
génération 	 代
vétérans 	 红卫兵
, 	 ，
de 	 的
rebelles 	 造反派
était 	 像
charbons 	 火炭
sur 	 上
de 	 的
loups 	 狼群
. 	 ，
Plus 	 除
que 	 了
la 	 还是
folie 	 疯狂
. 	 。
tour 	 大楼
sommet 	 顶上
émergea 	 出现
Une 	 一个
gracile 	 娇小
silhouette 	 身影
, 	 ，
celle 	 那个
une 	 那个
belle 	 美丽
fille 	 女孩子
brandissant 	 挥动
un 	 一面
“ 	 “
28 	 四
avril 	 四
” 	 ”
étendard 	 旗
. 	 ，
Son 	 她
irruption 	 出现
accueillie 	 招
fut 	 了
une 	 一阵
volée 	 一阵
hétérogène 	 杂乱
de 	 的
feu 	 枪声
armes 	 武器
: 	 ，
, 	 ，
des 	 有
vieilles 	 陈旧
des 	 的
américaine 	 美式
carabines 	 卡宾枪
, 	 、
tchèques 	 捷克式
Type 	 捷克式
38 	 三八
, 	 ，
jusqu’ 	 也
récentes 	 崭新
des 	 的
fusils 	 步枪
et 	 和
mitrailleurs 	 冲锋枪
pistolets 	 冲锋枪
– 	 ——
ces 	 后者
derniers 	 后者
avaient 	 是
au 	 在
“ 	 “
de 	 之后
lendemain 	 之后
à 	 从
armée 	 军队
dérobés 	 抢
( 	 （
1967 	 1967年
août”en 	 1967年
L’ 	 红旗
éditorial 	 杂志
parution 	 发表
d’ 	 一小撮
, 	 ，
déclenché 	 使
gardes 	 军队
des 	 的
explosion 	 愈演愈烈
tout 	 全国
pays 	 全国
échelle 	 范围
de 	 的
conflits 	 武斗
l’ 	 ·
. 	 。
) 	 ）
des 	 那些
coutelas 	 梭标
et 	 和
lances 	 大刀
blanches 	 冷兵器
armes 	 冷兵器
, 	 ，
formaient 	 构成
un 	 一
véritable 	 浓缩
condensé 	 浓缩
de 	 的
moderne 	 近现代史
histoire 	 近现代史
… 	 …
l’ 	 “
28 	 二八
Les 	 的
miliciens 	 人
de 	 在
connaissaient 	 玩
la 	 这个
chanson 	 游戏
sur 	 在
toit 	 楼顶
perché 	 站
le 	 的
camarade 	 人
Outre 	 除
vociférer 	 挥舞
, 	 ，
parfois 	 有时
d’ 	 用
haut-parleur 	 喇叭筒
slogans 	 口号
ou 	 或
pied 	 下
lançait 	 撒传单
tracts 	 撒传单
. 	 ，
Chaque 	 每次
fois 	 每次
il 	 他们
ceux 	 他们
parvenaient 	 能
de 	 在
pluie 	 弹雨
indemnes 	 全身而退
sortir 	 全身而退
du 	 自己
couverts 	 挣
des 	 了
de 	 的
gloire 	 荣誉
. 	 。
ce 	 这
En 	 次
de 	 的
son 	 自己
était 	 还有
passionnée 	 幸运
elle 	 她
guerre 	 战旗
drapeau 	 战旗
adolescence 	 青春
. 	 ，
ennemi 	 敌人
serait 	 将
flammes 	 火焰
consumé 	 化为灰烬
par 	 化为灰烬
L’ 	 化为灰烬
et 	 ，
idéal 	 理想
monde 	 世界
demain 	 明天
de 	 在
son 	 她
bouillonnant 	 沸腾
triomphal 	 沸腾
écarlate 	 沸腾
sang 	 热血
… 	 …
elle 	 她
elle 	 她
enivrait 	 陶醉
ce 	 这
rêve 	 梦幻
Alors 	 直到
qu’ 	 直到
un 	 一
fusil 	 步枪
transperça 	 穿
le 	 了
corps 	 胸膛
. 	 ，
quinze 	 十五
ans 	 岁
jeune 	 少女
fille 	 少女
La 	 的
poitrine 	 胸膛
était 	 是
si 	 么
frêle 	 柔嫩
du 	 那
qui 	 那
projectile 	 子弹
passé 	 穿过
travers 	 穿过
même 	 基本上
ne 	 没有
pas 	 没有
freina 	 减速
